name,description,price,category,brand,countInStock,image
"Floral Summer Breeze Dress","Lightweight floral print dress with ruffled sleeves.",3500,"Women Clothing","EcomSphere",45,"/img/product/floralsummerbreezedress.jpg"
"Satin Evening Blouse","Elegant emerald green satin blouse with a high neckline.",2800,"Women Clothing","EcomSphere",25,"/img/product/satineveningblouse.jpg"
"Bohemian Maxi Skirt","Flowy maxi skirt with a vibrant bohemian print and side slit.",2600,"Women Clothing","EcomSphere",35,"/img/product/bohemianmaxiskirt.jpg"
"High-Waisted Skinny Jeans","Classic dark indigo jeans with a flattering high-rise fit.",3200,"Women Clothing","EcomSphere",50,"/img/product/highwaistedskinnyjeans.jpg"
"Classic Trench Coat","Timeless beige trench coat with a belted waist and storm flaps.",6500,"Women Clothing","EcomSphere",15,"/img/product/classictrenchcoat.jpg"
"Pleated MIDI Skirt","Chic pleated skirt in a metallic rose gold finish.",2999,"Women Clothing","EcomSphere",30,"/img/product/pleatedmidiskirt.jpg"
"Cashmere Wrap Cardigan","Luxuriously soft oatmeal-colored wrap cardigan.",4800,"Women Clothing","EcomSphere",20,"/img/product/cashmerewrapcardigan.jpg"
"Lace Detail Cocktail Dress","Stunning black lace dress for evening parties.",5200,"Women Clothing","EcomSphere",12,"/img/product/lacedetailcocktaildress.jpg"
"Off-Shoulder Linen Top","Breezy white linen top with an elasticated neckline.",1899,"Women Clothing","EcomSphere",60,"/img/product/offshoulderlinentop.jpg"
"Velvet Party Gown","Deep burgundy velvet gown with a floor-length silhouette.",7999,"Women Clothing","EcomSphere",8,"/img/product/velvetpartygown.jpg"
"Active Performance Leggings","High-stretch leggings for yoga and gym workouts.",1999,"Women Clothing","EcomSphere",75,"/img/product/activeperformanceleggings.jpg"
"Silk Camisole Top","Minimalist silk top with adjustable spaghetti straps.",2200,"Women Clothing","EcomSphere",40,"/img/product/silkcamisoletop.jpg"
"Embroidered Denim Shorts","Casual denim shorts with intricate floral embroidery.",2499,"Women Clothing","EcomSphere",35,"/img/product/embroidereddenimshorts.jpg"
"Oversized Knit Sweater","Cozy mustard yellow sweater with a chunky cable knit.",3400,"Women Clothing","EcomSphere",25,"/img/product/oversizedknitsweater.jpg"
"Ruffled Polka Dot Blouse","Playful polka dot blouse with ruffled detailing on the collar.",2100,"Women Clothing","EcomSphere",45,"/img/product/ruffledpolkadotblouse.jpg"
"Tailored Plaid Blazer","Sophisticated plaid blazer for a professional look.",4500,"Women Clothing","EcomSphere",18,"/img/product/tailoredplaidblazer.jpg"
"A-Line Cotton Sun Dress","Breathable cotton sundress with a cheerful yellow print.",2899,"Women Clothing","EcomSphere",40,"/img/product/alinecottonsundress.jpg"
"Workout Sports Bra","Supportive and breathable sports bra for active women.",1299,"Women Clothing","EcomSphere",100,"/img/product/workoutsportsbra.jpg"
"Sequin Party Mini Skirt","Glamorous sequin skirt perfect for nights out.",2699,"Women Clothing","EcomSphere",30,"/img/product/sequinpartyminiskirt.jpg"
"Hooded Rain Parka","Stylish and waterproof rain jacket for wet weather.",3899,"Women Clothing","EcomSphere",20,"/img/product/hoodedrainparka.jpg"
