name,description,price,category,brand,countInStock,image
"Classic White Linen Shirt","Breathable and stylish white linen shirt for summer.",2499,"Men Clothing","EcomSphere",50,"/img/product/classicwhitelinenshirt.jpg"
"Midnight Black Denim Jacket","Heavyweight black denim jacket with slim-fit cut.",4200,"Men Clothing","EcomSphere",30,"/img/product/midnightblackdenimjacket.jpg"
"Slim Fit Chino Trousers","Versatile navy blue chinos made from stretch cotton.",3200,"Men Clothing","EcomSphere",40,"/img/product/slimfitchinotrousers.jpg"
"Oxford Button Down Shirt","Classic blue oxford shirt, perfect for office or casual wear.",2899,"Men Clothing","EcomSphere",25,"/img/product/oxfordbuttondownshirt.jpg"
"Graphic Print Streetwear Hoodie","Modern oversized hoodie with artistic graphic print.",3599,"Men Clothing","EcomSphere",15,"/img/product/graphicprintstreetwearhoodie.jpg"
"Summer Pastel Polo Shirt","Soft cotton polo shirt in a refreshing mint green shade.",1899,"Men Clothing","EcomSphere",60,"/img/product/summerpastelpoloshirt.jpg"
"Premium Wool Overcoat","Elegant camel-colored wool coat for a sophisticated winter look.",8999,"Men Clothing","EcomSphere",10,"/img/product/premiumwoolovercoat.jpg"
"Cargo Utility Pants","Durable olive green cargo pants with multiple tactical pockets.",2799,"Men Clothing","EcomSphere",35,"/img/product/cargoutilitypants.jpg"
"Striped Casual Tee","Comfortable cotton t-shirt with classic horizontal stripes.",999,"Men Clothing","EcomSphere",100,"/img/product/stripedcasualtee.jpg"
"V-Neck Cashmere Sweater","Luxuriously soft charcoal grey cashmere sweater.",5499,"Men Clothing","EcomSphere",20,"/img/product/vneckcashmeresweater.jpg"
"Active Performance Joggers","Breathable joggers designed for high-intensity training.",2299,"Men Clothing","EcomSphere",45,"/img/product/activeperformancejoggers.jpg"
"Classic Leather Biker Jacket","Timeless black leather jacket with silver zipper accents.",9500,"Men Clothing","EcomSphere",12,"/img/product/classicleatherbikerjacket.jpg"
"Tropical Print Aloha Shirt","Vibrant floral shirt perfect for beach vacations.",1999,"Men Clothing","EcomSphere",55,"/img/product/tropicalprintalohashirt.jpg"
"Double Breasted Suit Jacket","Tailored navy blazer for formal events and business meetings.",7200,"Men Clothing","EcomSphere",8,"/img/product/doublebreastedsuitjacket.jpg"
"Relaxed Fit Flannel Shirt","warm red and black checkered flannel shirt for autumn.",2199,"Men Clothing","EcomSphere",40,"/img/product/relaxedfitflannelshirt.jpg"
"Sleek Turtleneck Pullover","Minimalist black turtleneck made from premium knit.",2599,"Men Clothing","EcomSphere",30,"/img/product/sleekturtleneckpullover.jpg"
"Light Wash Distressed Jeans","Classic blue jeans with a modern distressed look.",3800,"Men Clothing","EcomSphere",25,"/img/product/lightwashdistressedjeans.jpg"
"Quilted Puffer Vest","Lightweight insulated vest perfect for layering.",2999,"Men Clothing","EcomSphere",50,"/img/product/quiltedpuffervest.jpg"
"Tailored Waistcoat","Classic grey waistcoat to elevate your formal attire.",2400,"Men Clothing","EcomSphere",18,"/img/product/tailoredwaistcoat.jpg"
"Performance Base Layer Shirt","Moisture-wicking shirt for professional athletes.",1499,"Men Clothing","EcomSphere",80,"/img/product/performancebaselayershirt.jpg"
