name,description,price,category,brand,countInStock,image
"Hydrating Rose Serum","Organic rose-infused facial serum that deeply hydrates.",1200,"Cosmetics","EcomSphere",120,"/img/product/hydratingroseserum.jpg"
"Matte Finish Lipstick - Ruby","Long-lasting matte lipstick in ruby red shade.",899,"Cosmetics","EcomSphere",200,"/img/product/mattefinishlipstickruby.jpg"
"Gold Glow Highlighting Palette","Multi-shade highlighting palette for a radiant complexion.",2400,"Cosmetics","EcomSphere",75,"/img/product/goldglowhighlightingpalette.jpg"
"Ultra-Volume Mascara","Smudge-proof black mascara for dramatic lash volume.",1100,"Cosmetics","EcomSphere",150,"/img/product/ultravolumemascara.jpg"
"Vitamin C Brightening Cream","Daily moisturizer that targets dark spots and evens skin tone.",1800,"Cosmetics","EcomSphere",90,"/img/product/vitamincbrighteningcream.jpg"
"Silky Smooth Primer","Pore-blurring face primer for a flawless makeup base.",1450,"Cosmetics","EcomSphere",110,"/img/product/silkysmoothprimer.jpg"
"Midnight Oud Perfume","Luxurious and mysterious fragrance with notes of oud and amber.",6500,"Cosmetics","EcomSphere",30,"/img/product/midnightoudperfume.jpg"
"Organic Argan Hair Oil","Pure Moroccan argan oil for shiny and healthy hair.",1600,"Cosmetics","EcomSphere",85,"/img/product/organicarganhairoil.jpg"
"Long-Wear Liquid Foundation","High-coverage foundation with a natural skin-like finish.",2800,"Cosmetics","EcomSphere",60,"/img/product/longwearliquidfoundation.jpg"
"Peppermint Lip Scrub","Gentle exfoliating scrub for soft and smooth lips.",650,"Cosmetics","EcomSphere",180,"/img/product/peppermintlipscrub.jpg"
"Charcoal Detox Face Mask","Deep-cleansing mask that removes impurities and excess oil.",950,"Cosmetics","EcomSphere",140,"/img/product/charcoaldetoxfacemask.jpg"
"Lavender Calming Bath Salts","Natural sea salts infused with relaxing lavender essential oil.",1299,"Cosmetics","EcomSphere",95,"/img/product/lavendercalmingbathsalts.jpg"
"Precision Wing Eyeliner","Waterproof liquid eyeliner with a fine felt-tip applicator.",899,"Cosmetics","EcomSphere",160,"/img/product/precisionwingeyeliner.jpg"
"Vegan Sunscreen SPF 50+","Broad-spectrum zinc-based sunscreen with no white cast.",1999,"Cosmetics","EcomSphere",70,"/img/product/vegansunscreenspf50plus.jpg"
"Brow Defining Gel","Tinted fiber gel for naturally fuller-looking eyebrows.",1050,"Cosmetics","EcomSphere",125,"/img/product/browdefininggel.jpg"
"Coconut Milk Body Lotion","Fast-absorbing lotion that leaves skin feeling silky and fragrant.",1350,"Cosmetics","EcomSphere",100,"/img/product/coconutmilkbodylotion.jpg"
"Golden Honey Face Wash","Gentle cleanser that nourishes and restores skin balance.",850,"Cosmetics","EcomSphere",150,"/img/product/goldenhoneyfacewash.jpg"
"Shimmer Eyeshadow Trio","Highly pigmented shades for a sparkling eye makeup look.",1200,"Cosmetics","EcomSphere",110,"/img/product/shimmereyeshadowtrio.jpg"
"Cooling Cucumber Eye Gel","Revitalizing gel that reduces puffiness and dark circles.",1550,"Cosmetics","EcomSphere",80,"/img/product/coolingcumbereyegel.jpg"
"Berry Blast Hand Cream","Moisturizing cream with a delightful berry scent.",499,"Cosmetics","EcomSphere",250,"/img/product/berryblasthandcream.jpg"
