name,description,price,category,brand,countInStock,image
"Classic White Linen Shirt","A breathable and stylish white linen shirt perfect for summer outings and casual office wear.",2499,"Men Clothing","EcomSphere",50,"/img/product/classicwhitelinenshirt.jpg"
"Midnight Black Denim Jacket","Heavyweight black denim jacket with reinforced stitching and a modern slim-fit cut.",4200,"Men Clothing","EcomSphere",30,"/img/product/midnightblackdenimjacket.jpg"
"Floral Summer Breeze Dress","Lightweight floral print dress with ruffled sleeves and a comfortable elastic waist.",3500,"Women Clothing","EcomSphere",45,"/img/product/floralsummerbreezedress.jpg"
"Satin Evening Blouse","Elegant emerald green satin blouse with a high neckline and button cuffs.",2800,"Women Clothing","EcomSphere",25,"/img/product/satineveningblouse.jpg"
"Urban Runner Sneakers","High-performance running shoes with breathable mesh and responsive cushioning.",5499,"Footwear","EcomSphere",60,"/img/product/urbanrunnersneakers.jpg"
"Handcrafted Leather Loafers","Premium Italian leather loafers with a cushioned insole for all-day comfort.",7999,"Footwear","EcomSphere",20,"/img/product/handcraftedleatherloafers.jpg"
"Aviation Series Sunglasses","Classic aviator style sunglasses with polarized lenses and a durable metal frame.",1800,"Glasses","EcomSphere",100,"/img/product/aviationseriessunglasses.jpg"
"Retro Round Frames","Vintage-inspired round glasses with a lightweight acetate frame and blue light protection.",1500,"Glasses","EcomSphere",85,"/img/product/retroroundframes.jpg"
"Hydrating Rose Serum","Organic rose-infused facial serum that deeply hydrates and revitalizes the skin.",1200,"Cosmetics","EcomSphere",120,"/img/product/hydratingroseserum.jpg"
"Matte Finish Lipstick - Ruby","Long-lasting matte lipstick in a vibrant ruby red shade with a velvet texture.",899,"Cosmetics","EcomSphere",200,"/img/product/mattefinishlipstickruby.jpg"
"Slim Fit Chino Trousers","Versatile navy blue chinos made from stretch cotton for maximum mobility.",3200,"Men Clothing","EcomSphere",40,"/img/product/slimfitchinotrousers.jpg"
"Bohemian Maxi Skirt","Flowy maxi skirt with a vibrant bohemian print and a side slit.",2600,"Women Clothing","EcomSphere",35,"/img/product/bohemianmaxiskirt.jpg"
"Trekking Adventure Boots","Rugged waterproof boots designed for harsh terrains and long-distance trekking.",6800,"Footwear","EcomSphere",15,"/img/product/trekkingadventureboots.jpg"
"Crystal Clear Cat Eye Glasses","Trendy cat-eye glasses with a clear frame and anti-reflective coating.",2200,"Glasses","EcomSphere",50,"/img/product/crystalclearcateyeglasses.jpg"
"Gold Glow Highlighting Palette","A multi-shade highlighting palette for a radiant and sun-kissed complexion.",2400,"Cosmetics","EcomSphere",75,"/img/product/goldglowhighlightingpalette.jpg"
