name,description,price,category,brand,countInStock,image
"Urban Runner Sneakers","High-performance running shoes with responsive cushioning.",5499,"Footwear","EcomSphere",60,"/img/product/urbanrunnersneakers.jpg"
"Handcrafted Leather Loafers","Premium Italian leather loafers with a cushioned insole.",7999,"Footwear","EcomSphere",20,"/img/product/handcraftedleatherloafers.jpg"
"Trekking Adventure Boots","Rugged waterproof boots designed for harsh terrains.",6800,"Footwear","EcomSphere",15,"/img/product/trekkingadventureboots.jpg"
"Minimalist White Canvas Shoes","Versatile white sneakers made from durable organic cotton canvas.",1899,"Footwear","EcomSphere",100,"/img/product/minimalistwhitecanvasshoes.jpg"
"Stiletto Evening Heels","Elegant black suede heels with a sleek pointed toe.",4500,"Footwear","EcomSphere",25,"/img/product/stilettoeveningheels.jpg"
"Classic Chelsea Boots","Timeless tan suede Chelsea boots with elastic side panels.",5200,"Footwear","EcomSphere",30,"/img/product/classicchelseaboots.jpg"
"Cushioned Sport Sandals","Comfortable outdoor sandals with adjustable straps and arch support.",2499,"Footwear","EcomSphere",50,"/img/product/cushionedsportsandals.jpg"
"Oxford Formal Shoes","Sophisticated dark brown leather oxfords for formal occasions.",5999,"Footwear","EcomSphere",18,"/img/product/oxfordformalshoes.jpg"
"Slip-On Mesh Trainers","Breathable and lightweight trainers for casual wear.",2200,"Footwear","EcomSphere",80,"/img/product/sliponmeshtrainers.jpg"
"Ankle Rain Boots","Practical and stylish waterproof boots for rainy days.",3200,"Footwear","EcomSphere",35,"/img/product/anklerainboots.jpg"
"Platform Chunky Sneakers","Modern street-style sneakers with a thick platform sole.",3899,"Footwear","EcomSphere",45,"/img/product/platformchunkysneakers.jpg"
"Ballet Flat Pumps","Simple and comfortable black leather ballet flats.",1599,"Footwear","EcomSphere",65,"/img/product/balletflatpumps.jpg"
"Rugged Logger Boots","Heavy-duty work boots with reinforced steel toe protection.",7500,"Footwear","EcomSphere",12,"/img/product/ruggedloggerboots.jpg"
"Velvet Smoking Slippers","Luxurious navy velvet slippers with gold embroidery.",4800,"Footwear","EcomSphere",10,"/img/product/velvetsmokingslippers.jpg"
"Classic Boat Shoes","Nautical-inspired leather boat shoes with non-slip soles.",2999,"Footwear","EcomSphere",40,"/img/product/classicboatshoes.jpg"
"Knitted Sock Sneakers","Ultra-lightweight sock-fit sneakers for a futuristic look.",4200,"Footwear","EcomSphere",28,"/img/product/knittedsocksneakers.jpg"
"Wedge Summer Sandals","Comfortable wedge sandals with a braided jute sole.",3400,"Footwear","EcomSphere",35,"/img/product/wedgesummersandals.jpg"
"Reflective Night Runners","Running shoes with 360-degree reflective materials for safety.",5999,"Footwear","EcomSphere",20,"/img/product/reflectivenightrunners.jpg"
"Pointed Mule Slides","Chic animal print mules for effortless style.",2100,"Footwear","EcomSphere",50,"/img/product/pointedmuleslides.jpg"
"High-Top Basketball Shoes","Performance basketball shoes with excellent ankle support.",6499,"Footwear","EcomSphere",15,"/img/product/hightopbasketballshoes.jpg"
